"specimen","IMAGE","SCALE","LM01_x","LM02_x","LM03_x","LM04_x","LM05_x","LM06_x","LM07_x","LM08_x","LM09_x","LM10_x","LM11_x","LM12_x","LM13_x","LM14_x","LM15_x","LM16_x","LM17_x","LM18_x","LM19_x","LM20_x","LM21_x","LM01_y","LM02_y","LM03_y","LM04_y","LM05_y","LM06_y","LM07_y","LM08_y","LM09_y","LM10_y","LM11_y","LM12_y","LM13_y","LM14_y","LM15_y","LM16_y","LM17_y","LM18_y","LM19_y","LM20_y","LM21_y"
"Gorilla","Gorilla_gorilla_CMNH_HTB_1995_Talus_Dorsal_R.png",0.005848,684,290,498,561,687,888,908,911,693,272,262,942,1105,1024,352,236,129,605,527,809,697,912,886,641,279,295,403,715,970,614,863,842,937,793,790,1187,1146,838,1107,202,233,956
"Pan","Pan_167343_Talus_Dorsal_L.png",0.007091,356,537,481,462,362,287,242,249,353,565,590,215,129,172,498,569,647,364,463,308,332,449,471,281,96,86,109,300,496,261,475,354,470,328,330,687,671,509,628,50,26,464
"Pan","Pan_167344_Talus_Dorsal_L.png",0.006578,381,570,495,501,378,286,246,237,376,607,642,206,119,167,525,602,684,347,504,316,329,496,504,329,167,122,152,324,521,311,492,398,486,402,397,690,668,465,605,67,48,506
"Pan","Pan_167345_Talus_Dorsal_L.png",0.005181,395,651,560,556,398,279,249,240,396,686,713,219,121,175,598,703,792,456,532,339,378,533,568,350,117,127,170,381,582,328,569,514,568,379,379,787,749,556,733,73,85,552
"Pan","Pan_167346_Talus_Dorsal_R.png",0.007518,411,249,307,303,411,516,559,555,412,196,180,585,719,641,293,215,139,449,326,483,481,535,565,383,206,181,209,395,572,362,559,500,534,411,409,749,729,562,670,146,143,551
"Pan","Pan_174860_Talus_Dorsal_L.png",0.004405,468,640,572,538,462,311,287,271,457,678,721,242,141,205,647,716,804,452,550,369,410,596,663,427,220,214,269,464,660,403,662,563,634,494,493,859,840,636,814,162,168,637
"Pan","Pan_174861_Talus_Dorsal_L.png",0.006802,376,610,512,518,376,251,231,223,370,641,670,197,100,153,565,628,721,378,518,324,355,543,550,365,134,117,169,367,548,330,549,443,526,400,399,741,725,515,653,92,61,551
"Pan","Pan_89354_Talus_Dorsal_L.png",0.006369,488,296,391,392,477,594,640,641,483,263,257,667,792,714,322,247,196,472,393,611,547,519,555,373,168,177,181,389,566,347,537,486,553,421,421,741,719,556,686,132,111,551
"Pan","Pan_89426_Talus_Dorsal_L.png",0.005882,446,652,535,516,443,304,258,251,438,669,688,228,104,176,612,694,763,463,531,359,379,528,603,390,195,184,212,413,590,359,594,524,553,424,425,808,786,592,751,135,86,574
"Pan","Pan_90191_Talus_Dorsal_L.png",0.005814,512,684,654,678,512,411,346,303,503,745,761,282,180,251,655,704,825,460,689,469,433,569,632,403,213,170,204,407,609,371,667,589,577,446,445,859,853,674,731,155,98,590
"Pan","Pan_51377_Talus_Dorsal_L.png",0.005208,581,863,738,733,578,414,413,431,581,928,956,383,197,281,831,934,1047,639,609,418,566,793,786,559,271,266,338,601,835,534,748,694,817,637,635,1034,1002,748,969,207,187,810
